text	pinyin	frequencyTier	category	sourceId	updatedAt	expiresAt	domain	layer	processingRule
全红婵	quan hong chan	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
雷军	lei jun	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
余承东	yu cheng dong	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
雄安新区	xiong an xin qu	normal	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
粤港澳大湾区	yue gang ao da wan qu	normal	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
长三角	chang san jiao	normal	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
成渝地区	cheng yu di qu	normal	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
横琴粤澳	heng qin yue ao	low	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
临港新片区	lin gang xin pian qu	low	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
河套深港	he tao shen gang	low	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
中关村	zhong guan cun	high	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
张江科学城	zhang jiang ke xue cheng	low	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
前海深港	qian hai shen gang	low	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
海南自贸港	hai nan zi mao gang	normal	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
天府新区	tian fu xin qu	normal	proper_place	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
字节跳动	zi jie tiao dong	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
哔哩哔哩	bi li bi li	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
小红书	xiao hong shu	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
拼多多	pin duo duo	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
美团	mei tuan	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
京东	jing dong	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
华为云	hua wei yun	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
蚂蚁集团	ma yi ji tuan	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
小米汽车	xiao mi qi che	normal	proper_product	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
鸿蒙智行	hong meng zhi xing	normal	proper_product	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
国家电网	guo jia dian wang	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
中国商飞	zhong guo shang fei	normal	proper_org_brand	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
